main.py:19: FutureWarning: Passing a negative integer is deprecated in version 1.0 and will not be supported in future version. Instead, use None to not limit the column width.
  pd.set_option('max_colwidth', -1)
2022-07-12 11:33:59,272 - main.py[line:581] - INFO: load query config config/query/flights.json successfully
2022-07-12 11:33:59,272 - main.py[line:588] - INFO: load train config ./config/train/flights_a_torch_cvae.json successfully
2022-07-12 11:33:59,272 - main.py[line:588] - INFO: load train config ./config/train/flights_b_torch_cvae.json successfully
2022-07-12 11:33:59,272 - dataset_utils.py[line:567] - INFO: load existing dataset(light):flights-flight-a_a_unique_carrier_a_taxi_out#a_air_time#a_distance_a_unique_carrier_binary_gaussian5_0
2022-07-12 11:33:59,412 - dataset_utils.py[line:576] - INFO: load dataset(light) time elapsed:0.13964183256030083
2022-07-12 11:33:59,412 - pytorch_cvae.py[line:276] - INFO: feature info:[('a_taxi_out', 'numerical', 6), ('a_air_time', 'numerical', 6), ('a_distance', 'numerical', 6), ('a_unique_carrier', 'categorical', 6)]
2022-07-12 11:33:59,414 - model_utils.py[line:75] - INFO: load model name:torch_cvae_flights-flight-a_a_unique_carrier_ld100_id150_bs512_ep150_0_binary_gaussian5
2022-07-12 11:34:01,591 - model_utils.py[line:86] - INFO: load torch model time elapsed:2.1772391051054
2022-07-12 11:34:01,591 - pytorch_cvae.py[line:286] - INFO: load model time elapsed:2.3185061141848564
2022-07-12 11:34:01,591 - dataset_utils.py[line:567] - INFO: load existing dataset(light):flights-flight-b_b_unique_carrier__b_unique_carrier_binary_gaussian5_0
2022-07-12 11:34:01,621 - dataset_utils.py[line:576] - INFO: load dataset(light) time elapsed:0.02978907898068428
2022-07-12 11:34:01,621 - pytorch_cvae.py[line:276] - INFO: feature info:[('b_unique_carrier', 'categorical', 6)]
2022-07-12 11:34:01,621 - model_utils.py[line:75] - INFO: load model name:torch_cvae_flights-flight-b_b_unique_carrier_ld50_id100_bs512_ep100_0_binary_gaussian5
2022-07-12 11:34:01,623 - model_utils.py[line:86] - INFO: load torch model time elapsed:0.0014240220189094543
2022-07-12 11:34:01,623 - pytorch_cvae.py[line:286] - INFO: load model time elapsed:0.031971439719200134
2022-07-12 11:34:01,623 - main.py[line:525] - INFO: multi_sampling No.0 epoch
2022-07-12 11:34:01,628 - main.py[line:525] - INFO: multi_sampling No.1 epoch
2022-07-12 11:34:01,629 - main.py[line:525] - INFO: multi_sampling No.2 epoch
2022-07-12 11:34:02,341 - pytorch_cvae.py[line:399] - INFO: sampling time:0.7170660383999348
2022-07-12 11:34:02,554 - pytorch_cvae.py[line:399] - INFO: sampling time:0.9255098812282085
2022-07-12 11:34:02,660 - pytorch_cvae.py[line:419] - INFO: house sampling rate:0.05
2022-07-12 11:34:02,814 - pytorch_cvae.py[line:399] - INFO: sampling time:1.1836891621351242
2022-07-12 11:34:02,995 - pytorch_cvae.py[line:419] - INFO: house sampling rate:0.05
2022-07-12 11:34:03,048 - pytorch_cvae.py[line:419] - INFO: house sampling rate:0.05
2022-07-12 11:34:03,151 - pytorch_cvae.py[line:399] - INFO: sampling time:0.47427717223763466
2022-07-12 11:34:03,223 - pytorch_cvae.py[line:399] - INFO: sampling time:0.1744225099682808
2022-07-12 11:34:03,338 - pytorch_cvae.py[line:399] - INFO: sampling time:0.34163064137101173
2022-07-12 11:34:08,000 - main.py[line:509] - INFO: sample and aggregation time elapsed:6.370387881994247
2022-07-12 11:34:08,145 - main.py[line:509] - INFO: sample and aggregation time elapsed:6.522227820008993
2022-07-12 11:34:08,383 - main.py[line:509] - INFO: sample and aggregation time elapsed:6.754454389214516
2022-07-12 11:34:08,388 - main.py[line:542] - INFO: sample time: 6.76518989354372
2022-07-12 11:34:08,410 - main.py[line:99] - INFO: aqp result:
                  avg(a_taxi_out)  avg(a_air_time)  avg(a_distance)  \
a_unique_carrier                                                      
9E               15.56            1202.35          710.50             
AA               15.24            1204.57          726.87             
AQ               15.45            1202.76          728.70             
AS               15.23            1204.02          725.28             
B6               15.07            1204.74          724.71             
CO               15.16            1205.06          729.49             
DH               15.36            1205.16          734.22             
DL               15.28            1205.22          730.21             
EV               15.51            1203.80          719.22             
F9               15.56            1205.04          734.73             
FL               15.42            1204.00          729.52             
HA               15.53            1203.73          721.13             
HP               15.67            1204.07          726.38             
MQ               15.19            1203.05          702.87             
NK               15.26            1203.00          716.25             
NW               15.18            1204.30          716.41             
OH (1)           15.43            1203.78          726.61             
OO               15.23            1204.38          727.05             
TW               15.18            1203.15          717.46             
TZ               15.25            1203.86          714.01             
UA               15.26            1202.48          715.92             
US               15.24            1204.88          716.49             
VX               15.27            1204.13          731.66             
WN               15.10            1203.83          723.68             
XE               15.47            1203.39          722.12             
YV               14.96            1204.08          720.71             

                  sum(a_taxi_out)  sum(a_air_time)  sum(a_distance)  
a_unique_carrier                                                     
9E               144413881.41     11156282129.75   6592562063.51     
AA               15965664107.03   1261665686276.22 761321541355.10   
AQ               1764885.92       137407697.90     83249482.62       
AS               868167477.63     68627866137.47   41340387523.39    
B6               533884346.73     42682980600.46   25675963679.51    
CO               2409755405.60    191506344197.73  115928943940.38   
DH               36415473.56      2856430281.81    1740230242.47     
DL               20376142796.18   1607091054348.42 973692999292.85   
EV               2578392523.19    200144748681.64  119577628930.88   
F9               81903590.32      6343271426.33    3867598290.99     
FL               491581670.39     38371214840.34   23249597898.44    
HA               59217386.36      4588591682.47    2748923196.25     
HP               390088511.99     29976215689.69   18083761771.36    
MQ               3484485977.88    275967079126.79  161231792054.57   
NK               5603520.46       441783986.05     263032303.02      
NW               3801669809.29    301645575507.47  179443197566.08   
OH (1)           238550646.87     18609599527.50   11232878928.75    
OO               4783816574.68    378210037427.03  228314514506.20   
TW               259069981.69     20539654672.97   12248190525.70    
TZ               3353704.02       264802138.04     157053519.12      
UA               11538748694.33   909506183144.43  541489452304.89   
US               9047591914.17    715342298604.02  425384280631.48   
VX               7441055.52       586657312.49     356469063.42      
WN               38662488134.53   3081790779645.40 1852600211017.01  
XE               866569514.43     67399074266.03   40444273083.49    
YV               210188612.71     16913493658.95   10123601206.39    
2022-07-12 11:34:08,412 - main.py[line:100] - INFO: ground truth:
                  sum(a_taxi_out)  avg(a_taxi_out)  sum(a_air_time)  \
a_unique_carrier                                                      
9E               142284540.12     15.33            11173140586.24     
AA               16300686048.88   15.55            1263236350723.25   
AQ               1759966.00       15.41            137234624.71       
AS               876450380.96     15.37            68708755273.38     
B6               549788787.51     15.51            42793262804.14     
CO               2485211586.17    15.63            191613223535.47    
DH               35746942.01      15.07            2848202435.65      
DL               20738744853.55   15.54            1608686034109.96   
EV               2595112426.59    15.60            200460459274.38    
F9               80439061.46      15.27            6344125870.52      
FL               495879446.36     15.55            38408814777.63     
HA               59769807.29      15.67            4590749728.71      
HP               388476481.01     15.60            30000936923.38     
MQ               3590401529.60    15.64            276410780365.79    
NK               5829780.60       15.87            441769394.49       
NW               3909682334.52    15.60            301807796014.13    
OH (1)           238510098.84     15.42            18645751639.88     
OO               4895151892.62    15.58            378599313971.27    
TW               261763968.22     15.32            20584482964.54     
TZ               3494894.20       15.89            264811610.15       
UA               11794846477.28   15.59            911710654104.45    
US               9316915599.48    15.68            715580660601.78    
VX               7390703.22       15.17            586691056.44       
WN               39755967904.82   15.52            3085646169518.35   
XE               875611219.36     15.62            67533052769.33     
YV               221860571.32     15.79            16975037496.76     

                  avg(a_air_time)  sum(a_distance)  avg(a_distance)  
a_unique_carrier                                                     
9E               1203.46          6746625346.28    726.68            
AA               1205.37          777087416304.94  741.49            
AQ               1201.24          80971279.97      708.76            
